,precision,recall,f1-score,support
Normal,1.0,0.9743589743589743,0.987012987012987,117.0
P1,0.8951612903225806,0.9568965517241379,0.925,116.0
P2,0.9830508474576272,0.9914529914529915,0.9872340425531915,117.0
P3,0.944954128440367,0.8803418803418803,0.911504424778761,117.0
P4,0.9830508474576272,1.0,0.9914529914529915,116.0
accuracy,0.9605488850771869,0.9605488850771869,0.9605488850771869,0.9605488850771869
macro avg,0.9612434227356402,0.9606100795755967,0.9604408891595864,583.0
weighted avg,0.9613193656304793,0.9605488850771869,0.9604484857065266,583.0
