Student_Label,Section,Exam,IGV,IL,SER,n_unanswered,n_questions,blank_ratio,duration_sec,start_min,score_pct,Label,BFD,is_disrupted,RIF
Student_AO,Section_101,Midterm1,0.9629629629629629,0.0,0.9259259259259259,1,27,0.037037037037037035,5340,0,,Normal,0.16932845135653815,False,0
Student_AP,Section_101,Midterm1,0.0,0.0,0.9259259259259259,2,27,0.07407407407407407,5340,0,66.68,Normal,0.16167147138649113,False,1
Student_AQ,Section_101,Midterm1,0.9629629629629629,0.0,0.9259259259259259,1,27,0.037037037037037035,5340,0,,Normal,0.0,False,0
Student_AR,Section_201,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4080,0,,Normal,0.13728185936730397,False,0
Student_AS,Section_201,Midterm1,0.9629629629629629,0.0,0.9259259259259259,1,27,0.037037037037037035,5340,0,,Normal,0.1309457131465646,False,0
Student_AT,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5220,0,,Normal,0.13728185936730397,False,0
Student_AU,Section_202,Midterm1,0.9629629629629629,0.0,0.9259259259259259,1,27,0.037037037037037035,6240,0,,Normal,0.26525542373276934,False,1
Student_AV,Section_102,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5220,0,,Normal,0.0,False,0
Student_AW,Section_201,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,3840,0,,Normal,0.01419932473951768,False,0
Student_AX,Section_201,Midterm1,0.0,0.0,0.9259259259259259,2,27,0.07407407407407407,5340,0,81.48,Normal,0.16865420140161652,False,0
Student_AY,Section_103,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5280,0,,Normal,0.13075563512092225,False,0
Student_AZ,Section_202,Midterm1,0.0,0.0,0.9629629629629629,0,27,0.0,3840,0,,Normal,0.13736114663311036,False,0
Student_BA,Section_102,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,3099,0,,Normal,0.4997631520880286,False,1
Student_BB,Section_202,Midterm1,30.25,0.0,0.8148148148148148,3,27,0.1111111111111111,4500,0,,Normal,0.4533245370474375,False,0
Student_BC,Section_103,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,2705,0,,Normal,0.13728185936730397,False,0
Student_BD,Section_103,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,1463,0,,Normal,0.13075563512092225,False,0
Student_BE,Section_201,Midterm1,0.7407407407407407,0.0,0.8888888888888888,1,27,0.037037037037037035,4020,0,,Normal,0.0,False,0
Student_BF,Section_201,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5100,0,,P4,0.24183135079624704,False,2
Student_BG,Section_201,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5340,0,,Normal,0.18431941919315709,False,0
Student_BH,Section_202,Midterm1,0.0,0.0,0.8518518518518519,2,27,0.07407407407407407,3720,0,,Normal,0.0,False,0
Student_BI,Section_102,Midterm1,64.0,0.0,0.8888888888888888,3,27,0.1111111111111111,5280,0,74.08,Normal,0.9999999999804045,False,1
Student_BJ,Section_102,Midterm1,0.9629629629629629,0.0,0.9259259259259259,1,27,0.037037037037037035,5340,0,,Normal,0.14435776879803816,False,0
Student_BK,Section_201,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4560,0,,Normal,0.13075563512092225,False,0
Student_BL,Section_202,Midterm1,0.0,0.0,0.9629629629629629,0,27,0.0,4380,0,,Normal,0.13077711794166397,False,0
Student_BM,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5100,0,,Normal,0.1634116361001421,False,1
Student_BN,Section_102,Midterm1,0.0,0.0,0.6666666666666666,7,27,0.25925925925925924,5340,0,,Normal,0.1802982575246443,False,1
Student_BO,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,3840,0,,Normal,0.0,False,0
Student_BP,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5040,0,,Normal,0.13728185936730397,False,0
Student_BQ,Section_202,Midterm1,0.0,0.0,0.9259259259259259,2,27,0.07407407407407407,726,0,88.88,Normal,0.49976960755587796,False,1
Student_BR,Section_102,Midterm1,5.859375,0.0,0.37037037037037035,17,27,0.6296296296296297,6240,0,33.32,P3,0.1988573890656991,True,1
Student_BS,Section_102,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,3600,0,,Normal,0.13741420116865222,False,0
Student_BT,Section_201,Midterm1,0.037037037037037035,0.0,0.8888888888888888,1,27,0.037037037037037035,5340,0,,Normal,0.17643403162701157,False,1
Student_BU,Section_201,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,3960,0,,Normal,0.17257031438052844,False,0
Student_BV,Section_103,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4200,0,,Normal,0.0,False,0
Student_BW,Section_103,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,3900,0,,Normal,0.15033577632447123,False,0
Student_BX,Section_202,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4380,0,,Normal,0.6075833634643802,False,1
Student_BY,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4980,0,,Normal,0.1633912601575913,False,0
Student_BZ,Section_201,Midterm1,0.0,0.0,0.8888888888888888,2,27,0.07407407407407407,3001,0,,Normal,0.06551586693095594,False,0
Student_CA,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4980,0,,Normal,0.2591333636169165,False,1
Student_CB,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4740,0,,Normal,0.20909355503961208,False,0
Student_CC,Section_103,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,4320,0,,Normal,0.13075563512092225,False,0
Student_CD,Section_201,Midterm1,0.0,0.0,0.9259259259259259,2,27,0.07407407407407407,1291,0,81.48,Normal,0.3577253460772469,False,0
Student_CE,Section_101,Midterm1,0.37037037037037035,0.0,0.8888888888888888,1,27,0.037037037037037035,5040,0,,Normal,0.150396494780134,False,0
Student_CF,Section_101,Midterm1,0.0,0.0,0.9259259259259259,0,27,0.0,5520,0,,Normal,0.13075563512092225,False,0
Student_CG,Section_101,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,5160,1,,P4,0.1529912873318864,False,2
Student_CH,Section_202,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,5160,1,,Normal,0.16473823124076478,False,0
Student_CI,Section_101,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4200,1,,Normal,0.26133362637810065,False,0
Student_CJ,Section_201,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4620,1,,Normal,0.0,False,0
Student_CK,Section_201,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4560,1,,Normal,0.14516092723377533,False,0
Student_CL,Section_201,Midterm1,0.0,1.0,0.9259259259259259,2,27,0.07407407407407407,1359,1,77.76,Normal,0.0,False,0
Student_CM,Section_102,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,5280,1,,Normal,0.12958288238836874,False,0
Student_CN,Section_101,Midterm1,0.9629629629629629,1.0,0.9259259259259259,1,27,0.037037037037037035,5280,1,,Normal,0.11837539858858956,False,0
Student_CO,Section_103,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4800,1,,Normal,0.1177050621924948,False,0
Student_CP,Section_103,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4800,1,,Normal,0.13728185936730397,False,0
Student_CQ,Section_103,Midterm1,0.0,1.0,0.8888888888888888,2,27,0.07407407407407407,5280,1,,Normal,0.16863221306015116,False,1
Student_CR,Section_103,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,5280,1,,Normal,0.1503357763244712,False,0
Student_CS,Section_202,Midterm1,0.0,1.0,0.9259259259259259,2,27,0.07407407407407407,5100,1,70.36,Normal,0.20782042575385193,False,1
Student_CT,Section_201,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,5280,1,,Normal,0.18297669011951415,False,0
Student_CU,Section_103,Midterm1,0.0,1.0,0.9259259259259259,2,27,0.07407407407407407,603,1,66.68,Normal,0.2891659697862807,False,1
Student_CV,Section_102,Midterm1,144.0,1.0,0.8888888888888888,3,27,0.1111111111111111,979,1,70.36,Normal,0.0,False,0
Student_CW,Section_101,Midterm1,0.0,1.0,0.8888888888888888,3,27,0.1111111111111111,5280,1,81.48,Normal,0.258733474217659,False,0
Student_CX,Section_101,Midterm1,0.0,1.0,0.9259259259259259,2,27,0.07407407407407407,4200,1,85.2,Normal,0.21562317156969196,False,0
Student_CY,Section_103,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4980,1,,Normal,0.22234517456503086,False,1
Student_CZ,Section_102,Midterm1,0.37037037037037035,1.0,0.8888888888888888,1,27,0.037037037037037035,5280,1,,Normal,0.15307719751199983,False,0
Student_DA,Section_202,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4920,1,,Normal,0.1177050621924948,False,0
Student_DB,Section_102,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4500,1,,Normal,0.1503357763244712,False,0
Student_DC,Section_202,Midterm1,0.0,1.0,0.9259259259259259,0,27,0.0,4020,1,,Normal,0.16991947679029595,False,0
